"city","lon","lat","week_start","number_of_hours"
Berlin,13.4,52.52,2023-06-26 00:00:00.000,11
Berlin,13.4,52.52,2023-07-03 00:00:00.000,51
Berlin,13.4,52.52,2023-07-10 00:00:00.000,43
Berlin,13.4,52.52,2023-07-17 00:00:00.000,41
Berlin,13.4,52.52,2023-07-24 00:00:00.000,39
Berlin,13.4,52.52,2023-07-31 00:00:00.000,13
Berlin,13.4,52.52,2023-08-07 00:00:00.000,36
Berlin,13.4,52.52,2023-08-14 00:00:00.000,60
Berlin,13.4,52.52,2023-08-21 00:00:00.000,58
Berlin,13.4,52.52,2023-08-28 00:00:00.000,26
Brighton,-0.13,50.84,2023-06-26 00:00:00.000,2
Brighton,-0.13,50.84,2023-07-03 00:00:00.000,19
Brighton,-0.13,50.84,2023-07-10 00:00:00.000,12
Brighton,-0.13,50.84,2023-07-17 00:00:00.000,28
Brighton,-0.13,50.84,2023-07-24 00:00:00.000,15
Brighton,-0.13,50.84,2023-07-31 00:00:00.000,15
Brighton,-0.13,50.84,2023-08-07 00:00:00.000,32
Brighton,-0.13,50.84,2023-08-14 00:00:00.000,38
Brighton,-0.13,50.84,2023-08-21 00:00:00.000,41
Brighton,-0.13,50.84,2023-08-28 00:00:00.000,21
Porto Alegre,-51.2,-30.03,2023-06-26 00:00:00.000,14
Porto Alegre,-51.2,-30.03,2023-07-03 00:00:00.000,47
Porto Alegre,-51.2,-30.03,2023-07-10 00:00:00.000,18
Porto Alegre,-51.2,-30.03,2023-07-17 00:00:00.000,36
Porto Alegre,-51.2,-30.03,2023-07-24 00:00:00.000,32
Porto Alegre,-51.2,-30.03,2023-07-31 00:00:00.000,48
Porto Alegre,-51.2,-30.03,2023-08-07 00:00:00.000,16
Porto Alegre,-51.2,-30.03,2023-08-14 00:00:00.000,48
Porto Alegre,-51.2,-30.03,2023-08-21 00:00:00.000,36
Porto Alegre,-51.2,-30.03,2023-08-28 00:00:00.000,42
Valencia,-68.0,10.18,2023-06-26 00:00:00.000,3
Valencia,-68.0,10.18,2023-07-03 00:00:00.000,34
Valencia,-68.0,10.18,2023-07-10 00:00:00.000,11
Valencia,-68.0,10.18,2023-07-17 00:00:00.000,6
Valencia,-68.0,10.18,2023-07-24 00:00:00.000,5
Valencia,-68.0,10.18,2023-07-31 00:00:00.000,7
Valencia,-68.0,10.18,2023-08-07 00:00:00.000,25
Valencia,-68.0,10.18,2023-08-14 00:00:00.000,15
Valencia,-68.0,10.18,2023-08-21 00:00:00.000,28
Valencia,-68.0,10.18,2023-08-28 00:00:00.000,29
